t,${P^{load}}$,${c^{buy}}$,${c^{sell}}$,${P^{rdg1}}$,${P^{rdg2}}$,${P^{buy}_t}$,${P^{sell}_t}$,${SoC_t}$,${P^{chg}_t}$,${P^{dis}_t}$,${P^{dg1}_t}$,${P^{dg2}_t}$
1,169,90,70,0,0,157.421,0,0.525,68.4211,0,80,0
2,175,90,70,0,0,95,0,0.525,0,0,80,0
3,179,90,70,0,0,99,0,0.525,0,0,80,0
4,171,90,70,0,0,91,0,0.525,0,0,80,0
5,181,90,70,0,0,101,0,0.525,0,0,80,0
6,172,90,70,0,0,192,0,1,100,0,80,0
7,270,110,90,0,0,90,0,1,0,0,80,100
8,264,110,90,10,10,64,0,1,0,0,80,100
9,273,110,90,15,15,26.2175,0,0.806408,0,36.7825,80,100
10,281,110,90,20,20,0,0,0.485355,0,61,80,100
11,193,110,90,23,23,0,0,0.642105,33,0,80,100
12,158,125,105,28,28,0,78,0.642105,0,0,80,100
13,161,125,105,33,33,0,85,0.642105,0,0,80,100
14,162,125,105,35,35,0,88,0.642105,0,0,80,100
15,250,125,105,34,34,0,0,0.631579,0,2,80,100
16,260,125,105,31,31,0,0,0.536842,0,18,80,100
17,267,125,105,28,28,0,0,0.373684,0,31,80,100
18,271,125,105,10,10,0,0,0,0,71,80,100
19,284,110,90,0,0,104,0,0,0,0,80,100
20,167,110,90,0,0,0,13,0,0,0,80,100
21,128,110,90,0,0,0,52,0,0,0,80,100
22,134,110,90,0,0,0,46,0,0,0,80,100
23,144,110,90,0,0,0,36,0,0,0,80,100
24,150,110,90,0,0,0,30,0,0,0,80,100
